"Domain","Server","ZoneName","ZoneType","DynamicUpdate","IsAutoCreated","IsDsIntegrated","IsReverseLookupZone","ReplicationScope","DirectoryPartitionName","MasterServers","NotifyServers","SecondaryServers","AgingEnabled","NoRefreshInterval","RefreshInterval","ScavengeServers"
"cohovineyard.com","CVDC1.cohovineyard.com","50.10.in-addr.arpa","Primary","NonsecureAndSecure","False","False","True","None",,,,,"True","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDC1.cohovineyard.com","60.2.10.in-addr.arpa","Primary","NonsecureAndSecure","False","False","True","None",,,,,"False","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDC1.cohovineyard.com","7.12.10.in-addr.arpa","Primary","NonsecureAndSecure","False","False","True","None",,,,,"False","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDC1.cohovineyard.com","99.99.10.in-addr.arpa","Primary","NonsecureAndSecure","False","False","True","None",,,,,"True","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDC1.cohovineyard.com","alpineskihouse.com","Forwarder",,"False","True","False","Forest","ForestDnsZones.CohoVineyard.com","10.7.8.9",,,,,,
"cohovineyard.com","CVDC1.cohovineyard.com","bogus.com","Primary","NonsecureAndSecure","False","True","False","Domain","DomainDnsZones.CohoVineyard.com",,,,"True","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDC1.cohovineyard.com","CohoVineyard.com","Primary","NonsecureAndSecure","False","True","False","Domain","DomainDnsZones.CohoVineyard.com",,,,"True","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDC1.cohovineyard.com","fourthcoffee.com","Primary","NonsecureAndSecure","False","True","False","Domain","DomainDnsZones.CohoVineyard.com",,,,"True","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDC1.cohovineyard.com","sub2.fourthcoffee.com","Primary","NonsecureAndSecure","False","False","False","None",,,,,"True","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDC1.cohovineyard.com","tailspintoys.local","Forwarder",,"False","True","False","Forest","ForestDnsZones.CohoVineyard.com","10.12.20.3",,,,,,
"cohovineyard.com","CVDC1.cohovineyard.com","TrustAnchors","Primary","None","False","True","False","Forest","ForestDnsZones.CohoVineyard.com",,,,"False","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDC1.cohovineyard.com","wingtiptoys.local","Stub",,"False","True","False","Domain","DomainDnsZones.CohoVineyard.com","10.12.20.82",,,,,,
"cohovineyard.com","CVDCR2.cohovineyard.com","_msdcs.CohoVineyard.com","Primary","Secure","False","True","False","Forest","ForestDnsZones.CohoVineyard.com",,,,"True","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDCR2.cohovineyard.com","0.in-addr.arpa","Primary","None","True","False","True","None",,,,,"False","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDCR2.cohovineyard.com","127.in-addr.arpa","Primary","None","True","False","True","None",,,,,"False","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDCR2.cohovineyard.com","255.in-addr.arpa","Primary","None","True","False","True","None",,,,,"False","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDCR2.cohovineyard.com","alpineskihouse.com","Forwarder",,"False","True","False","Forest","ForestDnsZones.CohoVineyard.com","10.7.8.9",,,,,,
"cohovineyard.com","CVDCR2.cohovineyard.com","bogus.com","Primary","NonsecureAndSecure","False","True","False","Domain","DomainDnsZones.CohoVineyard.com",,,,"True","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDCR2.cohovineyard.com","CohoVineyard.com","Primary","NonsecureAndSecure","False","True","False","Domain","DomainDnsZones.CohoVineyard.com",,,,"True","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDCR2.cohovineyard.com","fourthcoffee.com","Primary","NonsecureAndSecure","False","True","False","Domain","DomainDnsZones.CohoVineyard.com",,,,"True","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDCR2.cohovineyard.com","tailspintoys.local","Forwarder",,"False","True","False","Forest","ForestDnsZones.CohoVineyard.com","10.12.20.3",,,,,,
"cohovineyard.com","CVDCR2.cohovineyard.com","TrustAnchors","Primary","None","False","True","False","Forest","ForestDnsZones.CohoVineyard.com",,,,"False","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDCR2.cohovineyard.com","wingtiptoys.local","Stub",,"False","True","False","Domain","DomainDnsZones.CohoVineyard.com","10.12.20.82",,,,,,
"wingtiptoys.local","DCA.wingtiptoys.local","_msdcs.wingtiptoys.local","Primary","Secure","False","True","False","Forest","ForestDnsZones.wingtiptoys.local",,,,"False","7.00:00:00","7.00:00:00",
"wingtiptoys.local","DCA.wingtiptoys.local","0.in-addr.arpa","Primary","None","True","False","True","None",,,,,"False","7.00:00:00","7.00:00:00",
"wingtiptoys.local","DCA.wingtiptoys.local","1.2.10.in-addr.arpa","Primary","NonsecureAndSecure","False","False","True","None",,,,,"False","7.00:00:00","7.00:00:00",
"wingtiptoys.local","DCA.wingtiptoys.local","10.in-addr.arpa","Secondary",,"False","False","True",,,"10.12.1.1",,,,,,
"wingtiptoys.local","DCA.wingtiptoys.local","127.in-addr.arpa","Primary","None","True","False","True","None",,,,,"False","7.00:00:00","7.00:00:00",
"wingtiptoys.local","DCA.wingtiptoys.local","2.2.10.in-addr.arpa","Primary","Secure","False","True","True","Domain","DomainDnsZones.wingtiptoys.local",,,,"False","7.00:00:00","7.00:00:00",
"wingtiptoys.local","DCA.wingtiptoys.local","255.in-addr.arpa","Primary","None","True","False","True","None",,,,,"False","7.00:00:00","7.00:00:00",
"wingtiptoys.local","DCA.wingtiptoys.local","3.10.in-addr.arpa","Primary","Secure","False","True","True","Domain","DomainDnsZones.wingtiptoys.local",,,,"False","7.00:00:00","7.00:00:00",
"wingtiptoys.local","DCA.wingtiptoys.local","4.10.in-addr.arpa","Primary","Secure","False","True","True","Domain","DomainDnsZones.wingtiptoys.local",,,,"False","7.00:00:00","7.00:00:00",
"wingtiptoys.local","DCA.wingtiptoys.local","CohoVineyard.com","Forwarder",,"False","True","False","Forest","ForestDnsZones.wingtiptoys.local","10.12.1.1",,,,,,
"wingtiptoys.local","DCA.wingtiptoys.local","disjointed.wideworldimporters.com","Forwarder",,"False","True","False","Forest","ForestDnsZones.wingtiptoys.local","10.12.22.82",,,,,,
"wingtiptoys.local","DCA.wingtiptoys.local","tailspintoys.local","Forwarder",,"False","True","False","Forest","ForestDnsZones.wingtiptoys.local","10.12.20.3",,,,,,
"wingtiptoys.local","DCA.wingtiptoys.local","TrustAnchors","Primary","None","False","True","False","Forest","ForestDnsZones.wingtiptoys.local",,,,"False","7.00:00:00","7.00:00:00",
"wingtiptoys.local","DCA.wingtiptoys.local","wingtiptoys.local","Primary","NonsecureAndSecure","False","True","False","Domain","DomainDnsZones.wingtiptoys.local",,,,"False","7.00:00:00","7.00:00:00",
